date,game,id,player1,player2,hand1,hand2,rta,rtb,sca,scb,result
2024-01-01,LotV,453506,23244,20890,1,3,-0.5285596517898092,-0.13967837483344364,0,2,0
2024-01-01,LotV,453507,24886,4,3,2,0.0,1.8259727279234206,0,2,0
2024-01-01,LotV,453508,18660,5933,3,3,0.6272415733323675,1.3389254642811008,0,2,0
2024-01-01,LotV,453509,2309,24726,2,1,1.0391930237647902,0.23013601181551804,2,1,1
2024-01-01,LotV,453510,8106,24267,3,1,1.2959667784354023,-0.006962418724029841,2,0,1
2024-01-01,LotV,453511,76,20890,2,3,2.3678522915610634,-0.13967837483344364,2,0,1
2024-01-01,LotV,453512,7956,2,3,3,1.437188810212449,1.908273246183748,1,2,0
2024-01-01,LotV,453513,10115,4,1,2,2.0613595327429883,1.8259727279234206,0,2,0
2024-01-01,LotV,453514,8106,186,3,3,1.2959667784354023,2.0205326976645,2,0,1
2024-01-01,LotV,453515,1665,5933,1,3,2.215659935368764,1.3389254642811008,2,1,1
2024-01-01,LotV,453516,8148,1517,3,1,1.750989851965946,1.884470640844636,2,1,1
2024-01-01,LotV,453517,2170,13361,3,3,1.922724113762933,1.5946308496365662,1,2,0
2024-01-01,LotV,453518,2309,44,2,1,1.0391930237647902,1.989339050730446,0,2,0
2024-01-01,LotV,453519,76,2,2,3,2.3678522915610634,1.908273246183748,1,2,0
2024-01-01,LotV,453520,4,8106,2,3,1.8259727279234206,1.2959667784354023,2,0,1
2024-01-01,LotV,453521,1665,8148,1,3,2.215659935368764,1.750989851965946,2,0,1
2024-01-01,LotV,453522,13361,44,3,1,1.5946308496365662,1.989339050730446,0,2,0
2024-01-01,LotV,453523,2,4,3,2,1.908273246183748,1.8259727279234206,1,2,0
2024-01-01,LotV,453524,1665,44,1,1,2.215659935368764,1.989339050730446,0,2,0
2024-01-01,LotV,453525,4,44,2,1,1.8259727279234206,1.989339050730446,3,0,1
2024-01-01,LotV,453526,16553,23194,3,3,0.21055546114679918,-0.1305711842415264,2,0,1
2024-01-01,LotV,453527,23720,23776,3,1,0.12280221974236037,-0.22392338605300033,2,0,1
2024-01-01,LotV,453528,24541,18852,1,3,-0.061487540971175085,0.5483626873831489,0,2,0
2024-01-01,LotV,453529,58,18428,3,1,1.454577911394147,0.18808121215542534,2,0,1
2024-01-01,LotV,453530,23941,22938,3,3,-0.13485305235696227,0.06263323865593905,0,2,0
2024-01-01,LotV,453531,22443,23610,2,3,0.682203056998734,-0.2432048375759272,2,0,1
2024-01-01,LotV,453533,24694,18251,2,3,-0.1390849898637953,0.21265353958833816,0,2,0
2024-01-01,LotV,453534,19992,19734,3,3,0.061785601529304866,-0.1703812565395481,2,0,1
2024-01-01,LotV,453535,24168,8913,3,3,0.0005221383930683688,1.365349830584874,0,2,0
2024-01-01,LotV,453536,16764,24695,3,1,1.1996452120284127,0.010813943372245532,2,0,1
2024-01-01,LotV,453537,22973,22462,2,2,-0.10570437591470153,-0.5092079843639742,2,1,1
2024-01-01,LotV,453538,13350,14006,2,1,0.31448538469766685,0.4926037836233775,2,0,1
2024-01-01,LotV,453539,4138,18614,2,3,0.5549526979700932,0.2702009636985713,2,1,1
