date,game,id,player1,player2,hand1,hand2,rta,rtb,sca,scb,result
2026-01-01,LotV,489173,15425,2,1,3,1.3505591469063063,1.87612692281452,2,1,1
2026-01-01,LotV,489172,23829,7956,2,3,0.3840145439669742,1.5364733812441995,0,3,0
2026-01-01,LotV,489168,8913,18651,3,3,1.451553395404255,1.2355624452600311,2,0,1
2026-01-01,LotV,489159,12333,25535,2,1,0.22541915785579672,0.2458982009757647,1,3,0
2026-01-01,LotV,489160,23725,18136,1,2,-0.024284230397413446,0.01510966939702367,2,3,0
2026-01-01,LotV,489171,23738,23586,1,3,0.38427943098359807,0.8066805107986239,2,3,0
2026-01-01,LotV,489170,23836,24769,2,1,0.32345170840327,0.10991681449775219,2,3,0
2026-01-01,LotV,489169,14887,19468,3,1,1.729855467756291,1.7244778541664758,0,2,0
2026-01-01,LotV,489164,24769,18136,1,2,0.10991681449775219,0.01510966939702367,3,0,1
2026-01-01,LotV,489163,17202,25535,3,1,0.34423745819895235,0.2458982009757647,1,3,0
2026-01-01,LotV,489162,21668,7956,3,3,0.46711486131983443,1.5364733812441995,1,3,0
2026-01-01,LotV,489174,22004,25535,3,1,0.9299244459185476,0.2458982009757647,3,1,1
2026-01-01,LotV,489166,22751,7956,1,3,0.5548408690167137,1.5364733812441995,0,3,0
2026-01-01,LotV,489167,20769,8148,3,3,1.5836354518634854,1.7366486247573447,2,1,1
2026-01-01,LotV,489165,25506,23586,1,3,0.028403549700713793,0.8066805107986239,0,3,0
2026-01-01,LotV,489161,23586,25873,3,2,0.8066805107986239,0.01319688104246984,3,1,1
2026-01-02,LotV,489199,20623,12852,3,1,0.9754179297002986,0.9228240926356401,0,1,0
2026-01-02,LotV,489198,25440,20623,3,3,0.47537399397792107,0.9754179297002986,2,1,1
2026-01-02,LotV,489197,21244,18251,3,3,1.929422591575495,0.9014313156083471,2,0,1
2026-01-02,LotV,489196,5616,5109,3,2,0.20528235431740147,0.531167870731328,1,0,1
2026-01-02,LotV,489205,25440,12852,3,1,0.47537399397792107,0.9228240926356401,0,3,0
2026-01-02,LotV,489204,14887,2,3,3,1.729855467756291,1.87612692281452,1,3,0
2026-01-02,LotV,489203,8148,18651,3,3,1.7366486247573447,1.2355624452600311,3,1,1
2026-01-02,LotV,489202,12852,18251,1,3,0.9228240926356401,0.9014313156083471,2,0,1
2026-01-02,LotV,489201,21244,25440,3,3,1.929422591575495,0.47537399397792107,3,0,1
2026-01-02,LotV,489200,18251,5616,3,3,0.9014313156083471,0.20528235431740147,1,0,1
2026-01-02,LotV,489207,19468,15425,1,1,1.7244778541664758,1.3505591469063063,3,2,1
2026-01-02,LotV,489206,20769,8913,3,3,1.5836354518634854,1.451553395404255,1,3,0
2026-01-02,LotV,489194,25440,5616,3,3,0.47537399397792107,0.20528235431740147,2,1,1
2026-01-02,LotV,489195,20623,5109,3,2,0.9754179297002986,0.531167870731328,2,1,1
2026-01-02,LotV,489191,23586,7956,3,3,0.8066805107986239,1.5364733812441995,0,3,0
2026-01-02,LotV,489192,24769,7956,1,3,0.10991681449775219,1.5364733812441995,1,4,0
2026-01-02,LotV,489193,18251,12852,3,1,0.9014313156083471,0.9228240926356401,2,0,1
2026-01-03,LotV,489213,1665,44,1,1,2.119993844089267,1.9410150814278773,1,2,0
2026-01-03,LotV,489216,233,44,3,1,2.3931466701022863,1.9410150814278773,2,0,1
2026-01-03,LotV,489217,186,2,3,3,2.3364474348390334,1.87612692281452,1,2,0
2026-01-03,LotV,489218,233,2,3,3,2.3931466701022863,1.87612692281452,3,1,1
2026-01-03,LotV,489219,20790,5388,2,3,-0.6971791504952886,0.8046467970170555,0,2,0
2026-01-03,LotV,489254,4565,11286,1,3,0.182054802306881,0.08290407077875182,0,2,0
2026-01-03,LotV,489253,7614,25210,1,2,0.13059688375550504,-0.03596191513835434,2,1,1
2026-01-03,LotV,489248,9477,23865,1,2,0.7523642277562164,0.3145146980385521,1,2,0
2026-01-03,LotV,489247,24894,18251,3,3,0.13417879898082463,0.9014313156083471,1,2,0
2026-01-03,LotV,489245,14106,23132,1,3,0.8088032339088967,0.8560676835175087,2,0,1
2026-01-03,LotV,489244,12918,21717,1,3,1.0080949901586378,0.33566515794684393,2,1,1
2026-01-03,LotV,489243,25498,23865,3,2,0.24798006309818216,0.3145146980385521,1,2,0
2026-01-03,LotV,489242,25440,9477,3,1,0.47537399397792107,0.7523642277562164,1,2,0
2026-01-03,LotV,489241,7030,18251,3,3,0.7049590400104575,0.9014313156083471,0,2,0
2026-01-03,LotV,489240,24209,24894,3,3,0.13575864505558058,0.13417879898082463,0,2,0
2026-01-03,LotV,489239,20623,22423,3,1,0.9754179297002986,-0.030231985222267027,2,1,1
2026-01-03,LotV,489238,22122,19616,1,2,0.7056291737189812,0.952568493983164,0,2,0
2026-01-03,LotV,489237,23132,22298,3,1,0.8560676835175087,-0.03162759121330469,2,0,1
2026-01-03,LotV,489236,21717,19128,3,1,0.33566515794684393,-0.47194225407677637,2,0,1
2026-01-03,LotV,489235,18251,25180,3,2,0.9014313156083471,0.2851422898335673,2,0,1
2026-01-03,LotV,489234,24894,5616,3,3,0.13417879898082463,0.20528235431740147,2,0,1
2026-01-03,LotV,489233,8356,19616,3,2,0.4089690601061614,0.952568493983164,0,2,0
2026-01-03,LotV,489232,5388,23865,3,2,0.8046467970170555,0.3145146980385521,3,0,1
2026-01-03,LotV,489229,15425,2,1,3,1.3505591469063063,1.87612692281452,0,3,0
2026-01-03,LotV,489223,22122,5388,1,3,0.7056291737189812,0.8046467970170555,0,2,0
2026-01-03,LotV,489222,17623,5616,3,3,1.3388012890493808,0.20528235431740147,2,1,1
2026-01-03,LotV,489221,23865,5109,2,2,0.3145146980385521,0.531167870731328,2,0,1
2026-01-03,LotV,489220,20623,25488,3,3,0.9754179297002986,-0.23031635419026125,2,0,1
2026-01-03,LotV,489215,47,2,1,3,2.1594022976647738,1.87612692281452,1,2,0
2026-01-03,LotV,489214,186,19468,3,1,2.3364474348390334,1.7244778541664758,2,0,1
2026-01-03,LotV,489212,233,8106,3,3,2.3931466701022863,1.2161458662256137,2,1,1
2026-01-03,LotV,489228,20769,2,3,3,1.5836354518634854,1.87612692281452,2,3,0
2026-01-03,LotV,489225,25440,23865,3,2,0.47537399397792107,0.3145146980385521,1,2,0
2026-01-03,LotV,489224,1098,20623,2,3,1.7041191164220877,0.9754179297002986,2,1,1
2026-01-03,LotV,489230,5388,1098,3,2,0.8046467970170555,1.7041191164220877,0,3,0
2026-01-03,LotV,489231,23865,17623,2,3,0.3145146980385521,1.3388012890493808,2,3,0
2026-01-03,LotV,489246,19616,20623,2,3,0.952568493983164,0.9754179297002986,0,2,0
2026-01-03,LotV,489227,15425,8148,1,3,1.3505591469063063,1.7366486247573447,3,1,1
2026-01-03,LotV,489226,25324,17623,2,3,-0.5482147675500092,1.3388012890493808,0,2,0
2026-01-03,LotV,489255,17478,11941,3,2,0.3487380968391326,0.0409164195414405,2,0,1
2026-01-03,LotV,489211,2,24209,3,3,1.87612692281452,0.13575864505558058,2,0,1
2026-01-03,LotV,489210,19468,13223,1,3,1.7244778541664758,0.701895957634484,2,0,1
2026-01-03,LotV,489209,44,1239,1,1,1.9410150814278773,-0.24079495650818464,2,0,1
2026-01-03,LotV,489208,1665,25324,1,2,2.119993844089267,-0.5482147675500092,2,0,1
2026-01-03,LotV,489250,20623,18251,3,3,0.9754179297002986,0.9014313156083471,0,3,0
2026-01-03,LotV,489251,23865,12918,2,1,0.3145146980385521,1.0080949901586378,2,3,0
